nom,date,provincial_infection_prevention_controle_en,ner_json
South-Kivu,07-06-2026,"A body was secured in intensive care at a general referral hospital. Support was provided for decontamination of a primary school, and 4 people were mentored on preparing 0.05% and 0.5% chlorinated solutions. A briefing was held for 208 people from 6 health areas across two health zones on decontamination, safe and dignified burials, and respect for barrier measures.",[]
Ituri,08-06-2026,"IPC scorecards: 19 facilities (one 38.7%), 2 facilities (11%, 12%), and 16 facilities (all <50%). Training started for 50 providers from 16 facilities on IPC. Rings opened around confirmed cases in 3 zones with site decontamination. Providers briefed on waste management, hand hygiene, biocleaning, PPE, and EVD basics; surface technicians briefed on EVD and standard IPC.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9914}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9453}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.5458}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9269}]"
North-Kivu,08-06-2026,"In Katwa, 2 out of 4 health facilities were decontaminated around 2 confirmed cases; 3 households were identified and planned for decontamination. Additionally, 7 out of 8 health facilities were accompanied, and 37 providers were briefed on IPC topics in those facilities.","[{""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.994}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9903}]"
South-Kivu,08-06-2026,Decontamination was conducted at an intensive care unit and a cantonment site. Scorecard assessments of two health facilities (40.0% and 9.7%) were followed by development of recovery plans. Twelve providers were briefed on decontamination and PPE donning/doffing. An assessment of 5 hot spots was conducted and handwashing devices were installed in one health zone.,"[{""type"": ""ORG"", ""value"": ""PP"", ""score"": 0.7295}]"
North-Kivu,11-06-2026,"Assessment of 4 health facilities (FEPSI:61%, Shangilieni:48%, Kyaghala:68%, La Charité:15%). 2/2 facilities decontaminated (HGR Katwa, CH FEPSI). 46/56 providers briefed. Risk assessment of 15/36 providers (11 high-risk, 3 intermediate, 1 low-risk). 26 facilities accompanied in Goma, Karisimbi, Nyiragongo with 29 providers briefed.","[{""type"": ""LOC"", ""value"": ""Shangi"", ""score"": 0.5305}, {""type"": ""ORG"", ""value"": ""##lie"", ""score"": 0.6902}, {""type"": ""LOC"", ""value"": ""Kyaghala"", ""score"": 0.791}, {""type"": ""ORG"", ""value"": ""La Charit\u00e9"", ""score"": 0.9946}, {""type"": ""ORG"", ""value"": ""HGR Katwa"", ""score"": 0.8509}, {""type"": ""ORG"", ""value"": ""CH F"", ""score"": 0.81}, {""type"": ""LOC"", ""value"": ""Goma"", ""score"": 0.9507}, {""type"": ""LOC"", ""value"": ""Karisimbi"", ""score"": 0.9285}, {""type"": ""LOC"", ""value"": ""Nyiragong"", ""score"": 0.9771}, {""type"": ""LOC"", ""value"": ""##o"", ""score"": 0.6491}]"
South-Kivu,11-06-2026,Decontamination of 12 households and 9 latrines. Support to EIR (donning/doffing) for 6 samples. Briefing of 6 hygienists at CS Kahungu on '3 buckets' decontamination technique.,"[{""type"": ""ORG"", ""value"": ""CS Kahun"", ""score"": 0.8821}, {""type"": ""LOC"", ""value"": ""##gu"", ""score"": 0.5806}]"
North-Kivu,15-06-2026,"38 health facilities accompanied in Butembo, Katwa, Beni and Goma. IPC supplies delivered to HGR Matanda. Decontamination of maternity and post-partum rooms at HGR Matanda. Risk assessment of 6/13 providers (3 high-risk). 97 providers briefed in Katwa, Beni and Butembo. Decontamination of HGR Kitatumba and CH Saint Joseph (1/6 facilities remaining). Scorecard assessment of 7 facilities in Beni (average 47.4%). Training closed for 11 providers at refugee transit site with WHO/UNHCR support.","[{""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9758}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.995}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9978}, {""type"": ""LOC"", ""value"": ""Goma"", ""score"": 0.9721}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9969}, {""type"": ""ORG"", ""value"": ""HGR Matanda"", ""score"": 0.7975}, {""type"": ""ORG"", ""value"": ""HGR Mata"", ""score"": 0.6698}, {""type"": ""LOC"", ""value"": ""##nda"", ""score"": 0.636}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9889}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9963}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.983}, {""type"": ""ORG"", ""value"": ""HGR Kitatumba"", ""score"": 0.8815}, {""type"": ""ORG"", ""value"": ""CH Saint Joseph"", ""score"": 0.9885}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9983}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9972}, {""type"": ""ORG"", ""value"": ""UNHCR"", ""score"": 0.9924}]"
South-Kivu,15-06-2026,"Scorecard assessment of 5 health facilities (4 in Katana HZ, 1 in Mitimurhesa HZ).","[{""type"": ""LOC"", ""value"": ""Katana HZ"", ""score"": 0.9484}, {""type"": ""LOC"", ""value"": ""Mitimurhesa HZ"", ""score"": 0.8407}]"
North-Kivu,16-06-2026,"2-day IPC briefing started for MONUSCO clinic health providers in Goma. Risk assessment of 5/7 staff exposed to confirmed case at CH Félicité (high risk). Assessment of 23 exposed staff in Beni (12 high-risk). 126 providers briefed during accompaniment of 34 health facilities in Beni, Butembo, Katwa. Supervision of CH LA VERITE which received 5 positive cases. Decontamination around confirmed cases in Butembo and Katwa. Decontamination of 1/2 facilities (CH DON DIVIN) in Katwa. Scorecard assessment of 12 facilities (Beni avg 55.7%, Katwa: HGR KITATUMBA 42%, Dispensaire Félicité 24.6%). IPC supplies delivered to CH Wanamahika (Katwa).","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9978}, {""type"": ""ORG"", ""value"": ""M"", ""score"": 0.967}, {""type"": ""ORG"", ""value"": ""##ONUSCO"", ""score"": 0.8705}, {""type"": ""LOC"", ""value"": ""Goma"", ""score"": 0.9823}, {""type"": ""ORG"", ""value"": ""CH F\u00e9licit\u00e9"", ""score"": 0.9507}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9597}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9978}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9951}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9972}, {""type"": ""ORG"", ""value"": ""CH LA VERITE"", ""score"": 0.9789}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9897}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9974}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.998}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9854}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9746}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.937}, {""type"": ""ORG"", ""value"": ""KITATUMBA"", ""score"": 0.8376}, {""type"": ""ORG"", ""value"": ""Dispensaire F\u00e9licit\u00e9"", ""score"": 0.9342}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9949}, {""type"": ""ORG"", ""value"": ""CH Wanamahika"", ""score"": 0.855}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9954}]"
South-Kivu,16-06-2026,"Scorecard assessment of 5 health facilities (4 in Katana HZ, 1 in Mitimurhesa HZ). Decontamination of 8 households and 8 latrines around 8 suspected cases in Katana HZ (5 Kalagane, 3 Chiranga).","[{""type"": ""LOC"", ""value"": ""Katana HZ"", ""score"": 0.8862}, {""type"": ""LOC"", ""value"": ""Mitimurhesa HZ"", ""score"": 0.8241}, {""type"": ""LOC"", ""value"": ""Katana HZ"", ""score"": 0.8057}, {""type"": ""LOC"", ""value"": ""Kalag"", ""score"": 0.7202}, {""type"": ""LOC"", ""value"": ""Chiranga"", ""score"": 0.9109}]"
North-Kivu,18-06-2026,"Risk assessment at CH CBCA (Katwa): 1 high-risk provider. Scorecard assessment of 3 facilities in Beni (CH CBCA 56.5%, CHP Heshima Letu 60%, Dispensaire Bora Uzima 22%). Gaps: non-functional triage, insufficient handwashing devices, insufficient PPE, untrained providers, poor waste management, no incinerator. Briefing of 222 providers in Beni, Butembo, Goma, Katwa, Karisimbi, Nyiragongo. 46 health facilities accompanied for IPC mentoring. Decontamination of 6 facilities (3 Katwa, 1 Butembo, 2 Beni).","[{""type"": ""ORG"", ""value"": ""CH CBCA"", ""score"": 0.9966}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9224}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9976}, {""type"": ""ORG"", ""value"": ""CH CBCA"", ""score"": 0.9919}, {""type"": ""ORG"", ""value"": ""CHP Heshima Letu"", ""score"": 0.9668}, {""type"": ""ORG"", ""value"": ""Dispensaire Bora Uzima"", ""score"": 0.9341}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.989}, {""type"": ""LOC"", ""value"": ""Goma"", ""score"": 0.9855}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9913}, {""type"": ""LOC"", ""value"": ""Karisimbi"", ""score"": 0.964}, {""type"": ""LOC"", ""value"": ""Nyiragongo"", ""score"": 0.971}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9874}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.8133}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.6687}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9736}]"
South-Kivu,18-06-2026,"Packaging and distribution of IPC supplies and PPE to Miti-Murhesa HZ. Support to EIR for 10 re-samples. Decontamination of 21 households (8 Kalagane AS/Katana, 13 Kabushwa AS/Miti-Murhesa). Installation of 4 checkpoints (3 Lwiro AS, 1 Kabushwa AS) with PNHF/OIM support. Distribution of IPC kits to schools (EP KABINDI, EP MURHANGA, EP CIBATI/COMBO). Ambulance decontamination after patient transfer. Scorecard at CH Bugarula (Idjwi HZ): 43.5%.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9912}, {""type"": ""LOC"", ""value"": ""Mi"", ""score"": 0.7672}, {""type"": ""LOC"", ""value"": ""##ti - Mu"", ""score"": 0.5538}, {""type"": ""ORG"", ""value"": ""##r"", ""score"": 0.5784}, {""type"": ""LOC"", ""value"": ""##hesa"", ""score"": 0.804}, {""type"": ""LOC"", ""value"": ""##Z"", ""score"": 0.7473}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.9588}, {""type"": ""ORG"", ""value"": ""Kalagane AS"", ""score"": 0.8834}, {""type"": ""ORG"", ""value"": ""Katana"", ""score"": 0.9112}, {""type"": ""ORG"", ""value"": ""Kabushwa AS"", ""score"": 0.8363}, {""type"": ""ORG"", ""value"": ""Mi"", ""score"": 0.6806}, {""type"": ""ORG"", ""value"": ""##ti"", ""score"": 0.4816}, {""type"": ""ORG"", ""value"": ""Murhesa"", ""score"": 0.7404}, {""type"": ""ORG"", ""value"": ""Lwi"", ""score"": 0.9203}, {""type"": ""ORG"", ""value"": ""AS"", ""score"": 0.852}, {""type"": ""ORG"", ""value"": ""Kabushwa AS"", ""score"": 0.9549}, {""type"": ""ORG"", ""value"": ""PNHF"", ""score"": 0.837}, {""type"": ""ORG"", ""value"": ""OIM"", ""score"": 0.814}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9841}, {""type"": ""ORG"", ""value"": ""EP KABINDI"", ""score"": 0.8758}, {""type"": ""ORG"", ""value"": ""EP MURHANGA"", ""score"": 0.7449}, {""type"": ""ORG"", ""value"": ""CH Bugarula"", ""score"": 0.9422}, {""type"": ""ORG"", ""value"": ""Idj"", ""score"": 0.6573}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.588}]"
North-Kivu,19-06-2026,"Risk assessment of 16 exposed providers: 8 in Katwa (all high-risk), 8 in Butembo (6 high-risk, 2 low-risk). Decontamination of 2 health facilities (CS Makerere triage) after confirmed and suspected case transfer. Briefing of 104 providers on case definitions and standard IPC precautions (triage, isolation, hand hygiene, cleaning, disinfection, waste management) in Butembo, Katwa, Beni, Karisimbi, Nyiragongo. Support for briefing of 18 morgue providers in Katwa (Red Cross). IPC/WASH supplies delivered to 27/42 health facilities in Butembo with WHO support. Accompaniment of 22 priority health facilities. Scorecard assessment of 11 facilities (10 Beni, 1 Butembo) average 45.4%. 4 SDBs and 21 post-mortem swabs performed in last 24h.","[{""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.997}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9953}, {""type"": ""ORG"", ""value"": ""CS Makerere"", ""score"": 0.9907}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9965}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9959}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9975}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9969}, {""type"": ""LOC"", ""value"": ""Karisimbi"", ""score"": 0.9829}, {""type"": ""LOC"", ""value"": ""Nyiragongo"", ""score"": 0.9778}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9967}, {""type"": ""ORG"", ""value"": ""Red Cross"", ""score"": 0.9973}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9956}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.8494}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9956}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9975}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9752}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9598}]"
North-Kivu,22-06-2026,"Decontamination of 4 health facilities around confirmed cases (2 Katwa: CH JERUSALEM, CH MUTIRI; 2 Beni: CH Gracia, CH Ruwenzori). Installation of 2 handwashing points at Malepe and Beni Central Market. Scorecard assessment of 10 facilities (7 Beni, 1 Katwa, 1 Butembo, 1 Kyondo) average 44.3%. Visit to BCZS Kyondo to activate EDS team and prepare training. IPC/WASH supplies delivered to Kyondo HZ (gloves, goggles, face shields, chlorine). Accompaniment of 57 priority health facilities in Beni, Butembo, Katwa, Kyondo, Goma, Karisimbi. Briefing of 202 providers on IPC topics.","[{""type"": ""ORG"", ""value"": ""CH JER"", ""score"": 0.7765}, {""type"": ""ORG"", ""value"": ""CH MUT"", ""score"": 0.7586}, {""type"": ""ORG"", ""value"": ""CH Gracia"", ""score"": 0.9835}, {""type"": ""ORG"", ""value"": ""CH Ru"", ""score"": 0.7844}, {""type"": ""LOC"", ""value"": ""##zor"", ""score"": 0.3837}, {""type"": ""ORG"", ""value"": ""##i"", ""score"": 0.623}, {""type"": ""LOC"", ""value"": ""Malepe"", ""score"": 0.9548}, {""type"": ""LOC"", ""value"": ""Beni Central Market"", ""score"": 0.9419}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9105}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9522}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9276}, {""type"": ""LOC"", ""value"": ""Kyondo"", ""score"": 0.9818}, {""type"": ""ORG"", ""value"": ""BCZ"", ""score"": 0.9754}, {""type"": ""ORG"", ""value"": ""K"", ""score"": 0.6145}, {""type"": ""LOC"", ""value"": ""##yondo"", ""score"": 0.9899}, {""type"": ""ORG"", ""value"": ""EDS"", ""score"": 0.7931}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9711}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.9311}, {""type"": ""LOC"", ""value"": ""Kyondo"", ""score"": 0.9491}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.5561}, {""type"": ""LOC"", ""value"": ""##Z"", ""score"": 0.6773}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9918}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9914}, {""type"": ""LOC"", ""value"": ""Kyondo"", ""score"": 0.9928}, {""type"": ""LOC"", ""value"": ""Goma"", ""score"": 0.9655}, {""type"": ""LOC"", ""value"": ""Karisimbi"", ""score"": 0.8991}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9099}]"
North-Kivu,23-06-2026,"Briefing of 290 providers in Beni, Butembo, Katwa, Oicha, Goma, Karisimbi, Nyiragongo. Assessment of 11 health facilities (average 45.8%). Training closure for 34 providers (Karisimbi, IMA). Decontamination of 4 health facilities (2 Katwa, 2 Beni) and 1 household (Kihinga/Katwa). IPC supplies delivered to CH Mukuna, CH Jérusalem (Katwa) and HGR Oicha. 26 death alerts managed, 24 post-mortem swabs performed, 5 SDBs carried out.","[{""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9959}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9809}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9912}, {""type"": ""LOC"", ""value"": ""Oicha"", ""score"": 0.9801}, {""type"": ""LOC"", ""value"": ""Goma"", ""score"": 0.9857}, {""type"": ""LOC"", ""value"": ""Karisimbi"", ""score"": 0.963}, {""type"": ""LOC"", ""value"": ""Nyiragongo"", ""score"": 0.972}, {""type"": ""ORG"", ""value"": ""Ka"", ""score"": 0.9058}, {""type"": ""LOC"", ""value"": ""##risim"", ""score"": 0.6124}, {""type"": ""ORG"", ""value"": ""##bi"", ""score"": 0.7528}, {""type"": ""ORG"", ""value"": ""IMA"", ""score"": 0.9835}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9337}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9682}, {""type"": ""LOC"", ""value"": ""Kihinga"", ""score"": 0.9487}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9902}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9743}, {""type"": ""ORG"", ""value"": ""CH Mukuna"", ""score"": 0.9618}, {""type"": ""ORG"", ""value"": ""CH J\u00e9rusalem"", ""score"": 0.9916}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9177}, {""type"": ""ORG"", ""value"": ""HGR Oicha"", ""score"": 0.7716}]"
South-Kivu,23-06-2026,"Distribution of IPC supplies/PPE to 5 health facilities (Katana, WHO support). Simulation workshop (PPE donning/doffing, SDB). Coaching on Kobocollect tool for 45 IPC pillar members. Biocleaning of 17 schools (exam centers). 4 scorecard assessments (Idjwi: 56.5% and 24.2%; Fizi: 43.5%; Nundu: 32.3%). Installation of 4 checkpoints (3 Lwiro, 1 Kabushwa, PNHF/IOM support).","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9931}, {""type"": ""ORG"", ""value"": ""Katana"", ""score"": 0.9623}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9973}, {""type"": ""ORG"", ""value"": ""SD"", ""score"": 0.8556}, {""type"": ""LOC"", ""value"": ""Ko"", ""score"": 0.3904}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.991}, {""type"": ""ORG"", ""value"": ""Fi"", ""score"": 0.3443}, {""type"": ""LOC"", ""value"": ""N"", ""score"": 0.7742}, {""type"": ""ORG"", ""value"": ""L"", ""score"": 0.68}, {""type"": ""MISC"", ""value"": ""Ka"", ""score"": 0.5836}, {""type"": ""MISC"", ""value"": ""##wa"", ""score"": 0.5653}, {""type"": ""ORG"", ""value"": ""P"", ""score"": 0.94}, {""type"": ""ORG"", ""value"": ""##HF"", ""score"": 0.8709}, {""type"": ""ORG"", ""value"": ""IOM"", ""score"": 0.7398}]"
Ituri,24-06-2026,"22/27 SDBs performed (5 postponed). 10 scorecard assessments in health facilities. 20 health facilities accompanied with 81 providers briefed. Decontamination of 17 households, 4 health facilities and 16 vehicles. Briefing of 55 community leaders on EVD and standard precautions.","[{""type"": ""MISC"", ""value"": ""SD"", ""score"": 0.7502}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9475}]"
North-Kivu,24-06-2026,Joint WHO-IPC mission to Oicha HZ: visit to Oicha CT with gap identification and IPC/WASH supplies delivered. Joint UNICEF-IPC mission to CSR CARL BEKER for photovoltaic borehole and triage unit monitoring. Monitoring of PLM installed at Beni Central Market entrance. Water supply to Katwa ETC tanks by CAUB (UNICEF implementing partner).,"[{""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.993}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9982}, {""type"": ""LOC"", ""value"": ""Oicha HZ"", ""score"": 0.9917}, {""type"": ""LOC"", ""value"": ""Oicha CT"", ""score"": 0.8787}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9846}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.8521}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9677}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9978}, {""type"": ""ORG"", ""value"": ""CS"", ""score"": 0.5457}, {""type"": ""ORG"", ""value"": ""P"", ""score"": 0.8702}, {""type"": ""LOC"", ""value"": ""Beni Central Market"", ""score"": 0.9466}, {""type"": ""ORG"", ""value"": ""Kat"", ""score"": 0.4904}, {""type"": ""LOC"", ""value"": ""##wa"", ""score"": 0.7426}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9329}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9963}]"
